tool,metric,time_s
pandas,load,0.897126
pandas,preprocess,10.028590
pandas,total_por_departamento,0.008261
pandas,heridos_muertos_por_departamento,4.512131
pandas,top_por_tipo_vehiculo,0.004175
pandas,tendencias_mensuales,0.032858
pandas,accidentes_por_dia,0.014256
pyspark,load,9.607965
pyspark,preprocess,9.360151
pyspark,total_por_departamento,2.796932
pyspark,heridos_muertos_por_departamento,2.698186
pyspark,top_por_tipo_vehiculo,1.119479
pyspark,tendencias_mensuales,1.677840
pyspark,accidentes_por_dia,1.224207
